"","standard_value","Binary","assay_type","not_sure","rdkit"
"456",6.43179827593301,0,"binding",1,"COc1cccc(CNC(=O)c2ccc(-c3cc(-c4nnc(C)o4)ccc3C)cc2)c1"
"457",5.06348625752111,0,"binding",0,"Cc1cccc(-c2[nH]c(CNc3cccc(Cl)c3Cl)nc2-c2ccc3ncnn3c2)n1"
"458",8.15490195998574,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1NC(=O)c1cnn(-c2ccccc2)c1N"
"459",6.62893213772826,0,"binding",1,"COCCn1c(SC)nc(-c2ccc(F)cc2)c1-c1ccnc(NC[C@H]2CCCC[C@@H]2O)c1"
"460",6.53760200210104,0,"binding",1,"Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Cc2ccc(N)cc2)cc1"
"461",8.95860731484177,1,"binding",0,"Cc1n[nH]cc1-c1nncc2nc(Nc3ccc(F)cc3F)ccc12"
"462",7.52775866392492,1,"binding",0,"COc1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2"
"463",7,1,"binding",1,"NC(=O)c1ccccc1NC(=O)Nc1ccc(Cl)c(Cl)c1"
"464",6.16749108729376,0,"binding",1,"Cn1c(=O)n(C)c2cc(-c3[nH]c(-c4cccs4)nc3-c3ccc(Cl)cc3)ccc21"
"465",6.01322826573375,0,"binding",1,"CCCNC(=O)c1ccc(C)c(-c2ccc(C(=O)NCC3CC3)cc2)c1"
"466",8.09691001300806,1,"binding",0,"COc1ccccc1C(=O)Nc1ccc(C)c(C(=O)Nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2)c1"
"467",9.09691001300806,1,"binding",0,"CC(C)(C)CNc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2"
"468",5.49485002168009,0,"binding",0,"O=C([O-])Cn1cc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)nn1"
"469",7.7208659393609,1,"binding",0,"Cc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1"
"470",6.08990945440593,0,"binding",1,"CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1CCCO"
"471",8.69897000433602,1,"binding",0,"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCc3ccnc(NC(=O)CN4CCOCC4)c3)c3ccccc23)cc1"
"472",5,0,"binding",0,"CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)nc(SCc3ccc([S+](C)[O-])cc3)n2CCCN2CCOCC2)ccn1"
"473",7.66554624884907,1,"binding",0,"CCc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12"
"474",7.69897000433602,1,"binding",0,"O=C(Nc1cc(-c2c(-c3ccc(F)cc3)nc3n2CCS3)ccn1)C1CC1c1ccccc1"
"475",5,0,"binding",0,"COC(=O)c1ccc(NCc2nc(-c3ccc4ncnn4c3)c(-c3cccc(C)n3)[nH]2)cc1"
"476",8.65757731917779,1,"binding",0,"COCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NOC)ccc3C)c2c1C"
"477",8.39794000867204,1,"binding",0,"CONC(=O)c1ccc(C)c(Nc2ncnc3c2cnn3-c2ccccc2)c1"
"478",8,1,"binding",0,"CCC(CO)Nc1cc(-c2[nH]c(SC)nc2-c2ccc(F)cc2)ccn1"
