biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
5469466009002307588,CNc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,8.69897000433602,1,binding,0
-6933779695080554378,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)CCCC(C)C)c2)[nH]1,7.69897000433602,1,binding,0
4404120146779407554,OCC(O)CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC3CCOCC3)c2)[nH]1,8.52287874528034,1,binding,0
-7868000872780214760,Fc1ccc(-c2ncoc2-c2ccc3nnc(C4CC4)n3c2)cc1,7.96257350205938,1,binding,0
8505206372400524837,Cc1cc(Cl)ccc1-n1nc(Sc2ccc(F)cc2F)ccc1=O,6.508638306165731,0,binding,1
7596486275615464083,CCc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,7.66554624884907,1,binding,0
-6438245590458026993,CSc1nc(-c2cccc(C(F)(F)F)c2)c(-c2ccnc(NC(C)CCc3ccccc3)c2)[nH]1,7.30980391997149,1,binding,1
-1369576782880705845,CCOC(=O)c1cn2ncnc(Nc3cc(C(=O)NOC)ccc3C)c2c1C,9.04575749056067,1,binding,0
42532186560148892,CC(C)N1CCC(c2cc(-c3ccc(F)cc3F)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,9.69897000433602,1,binding,0
1310885477897932967,Cc1ccc(-c2ncc(C)n2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,4.0,0,binding,0
-4413417990761757606,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3ccncc3)c2)[nH]1,6.92445303860747,0,binding,1
-1958574905669968223,CCCNC(=O)c1cn2ncnc(Nc3cc(NC(C)=O)ccc3C)c2c1C,6.6382721639824105,0,binding,1
7138383685575799746,CCN(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,8.32790214206428,1,binding,0
-9074914082438335445,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccccc1C#N,5.92081875395237,0,binding,0
-1262855083187996354,CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(Cl)cc3Cl)cn12,8.08092190762393,1,binding,0
8997566760978790338,COC(=O)c1cn2ncnc(-c3c(O)[nH]c4cc(Br)ccc34)c2c1C,7.096910013008059,1,binding,1
-4721727794572199404,Cc1ccc(-c2cn(C)cn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,4.721246399047169,0,binding,0
-7827868748422377931,CCNc1cc(-c2[nH]c(SCC(O)CO)nc2-c2ccc(F)cc2)ccn1,7.5686362358410095,1,binding,0
-1930840854721519961,CC#Cn1c(=O)c(-c2ccc(F)cc2)c(-c2ccncc2)c2ccccc21,5.508638306165731,0,binding,0
8340433544691116109,O=c1c(Cl)c(OCc2ccccc2)ccn1Cc1ccccc1,6.0457574905606695,0,binding,1
7984291953737962364,Cc1cccc(C)c1OC(=O)N(c1ccc2ccccc2c1)c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1,6.130768280269019,0,binding,1
5577561604451556428,Cc1ccc(NC(=O)c2cc(F)cc(N3CCOCC3)c2)cc1Nc1ncnn2cc(C(=O)NCCN(C)C)c(C)c12,8.0,1,binding,0
7757046558559255226,CSc1nc(-c2ccccc2Cl)c2c(n1)N(c1c(Cl)cccc1Cl)C(=O)NC2,8.0,1,binding,0
1889448451298961319,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Cl)c2)[nH]1,5.98296666070122,0,binding,0
3077131819819320066,CCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,8.11918640771921,1,binding,0
2472100171871391261,CNCC(=O)NCCCN(c1ccc(=O)n(-c2ccccc2Cl)n1)c1ccccc1Cl,7.455931955649719,1,binding,1
5138323860529287916,Cc1ccc(-c2cn(C)c(C)n2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,4.0,0,binding,0
-1171091734942448546,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3ccc(OCCCN(C)C)cc3)n2)c(OC)c1,5.67778070526608,0,binding,0
-4929047367562500549,CCCNC(=O)c1cn2ncnc(Nc3cc(NC(=O)COC)ccc3C)c2c1C,7.69897000433602,1,binding,0
6792572340575187337,CCONC(=O)c1ccc(C)c(Nc2ncnn3cc(C(=O)OC)c(C)c23)c1,8.39794000867204,1,binding,0
2607508189247689888,Cc1cccc(C)c1OC(=O)N(c1ccccc1)c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1,6.7958800173440705,0,binding,1
-5214513900606012728,CCNC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4ccc(C#N)cc4)ccc3C)c2c1C,7.6382721639824105,1,binding,0
4216348492086549833,CC(C)[C@H](C)Nc1cc(-c2[nH]c(=O)[nH]c2-c2ccc(F)cc2)ccn1,7.30980391997149,1,binding,1
8741948481944187365,Fc1ccc(-c2ncoc2-c2ccc3nnc(N4CCCC4)n3c2)cc1,7.812479279163541,1,binding,0
-9217988040741768750,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3cccs3)c2)[nH]1,7.33724216831843,1,binding,1
6450673771595740223,OCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(N[C@H]3CC[C@H](O)CC3)c2)[nH]1,8.69897000433602,1,binding,0
-492374107101345367,CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)c(F)cc4F)cn23)CC1,8.63827216398241,1,binding,0
-1801844303331013309,N#Cc1c(OCc2ccc(F)cc2F)ccn(Cc2cccc(F)c2)c1=O,5.00436480540245,0,binding,0
9182505004462039882,CONC(=O)c1ccc(C)c(Nc2ncnn3cc(NC(=O)OC)c(C)c23)c1,8.48148606012211,1,binding,0
-2807742030380714167,O=c1ccc2c(-c3cccnc3)cccc2n1-c1c(Cl)cccc1Cl,6.33724216831843,0,binding,1
7182512991289101071,O=c1c(Br)c(OCc2ccc(F)cc2F)ccn1Cc1cccc(F)c1,6.8860566476931595,0,binding,1
400394879842031708,CSc1nc(-c2cccc(C(F)(F)F)c2)c(-c2ccnc(NCc3ccco3)c2)[nH]1,6.718966632752269,0,binding,1
7091787535740183531,Cc1ccc(NC(=O)c2cc(F)cc(N3CCOCC3)c2)cc1Nc1ncnn2ccc(C)c12,7.5686362358410095,1,binding,0
4670436453354587763,CCSc1nc(-c2cccc(C(F)(F)F)c2)c(-c2ccnc(F)c2)[nH]1,6.18243463044022,0,binding,1
2901199502664977452,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC[C@@H](N)C2)ccc2[nH]ccc12,4.49485002168009,0,binding,0
-1640623656250458832,CC1(c2nnc3ccc(-c4ocnc4-c4ccc(F)cc4)cn23)CCC1,7.85387196432176,1,binding,0
8161693715604867703,CCc1ccccc1Nc1ccc(=O)n(-c2ccccc2Cl)n1,6.251811972993799,0,binding,1
121256558436247198,Cc1cc(OCc2ccc(F)cc2)c(Br)c(=O)n1-c1ccccn1,6.0,0,binding,0
3679130212627457596,CCCNC(=O)c1cn2ncnc(Nc3cc(NC(=O)OC)ccc3C)c2c1C,7.8239087409443195,1,binding,0
-4545510901468367852,CC(C)c1nnc2ccc(-c3ocnc3-c3cccc(Cl)c3)cn12,7.86966623150499,1,binding,0
